route_id,route_name,terminal,scheduled_arrival_time,frequency_min
R001,Airport Express,Kempegowda Bus Terminal,06:00,15
R002,Whitefield Local,Majestic,06:15,20
R003,Electronic City Direct,Shivajinagar,06:00,25
R004,Hebbal Connector,KR Puram,06:30,20
R005,Bannerghatta Road,Jayanagar 4th Block,07:00,15
R006,Yelahanka Express,Yeshwanthpur,06:45,30
R007,Marathahalli Loop,Silk Board,07:15,20
R008,Koramangala Shuttle,Town Hall,06:00,10
R009,BTM Layout Local,Lalbagh West Gate,06:30,15
R010,Rajajinagar Ring,Rajajinagar 1st Block,07:00,20
R011,HSR Layout Direct,Agara,06:15,25
R012,Jayanagar Express,South End Circle,06:45,15
R013,Indiranagar Connect,CMH Road,07:00,20
R014,Bellandur Lake Route,Sarjapur Road,06:30,30
R015,Kalyan Nagar Local,HBR Layout,07:15,20
R016,Nagarbhavi Express,RV College,06:00,25
R017,Vijayanagar Direct,Attiguppe,06:30,15
R018,Gottigere Shuttle,JP Nagar 7th Phase,07:00,20
R019,Doddaballapur Road,Hebbal Flyover,06:15,30
R020,Chandapura Express,Electronic City Phase 2,06:45,25
R021,Hennur Road Local,Lingarajapuram,07:00,20
R022,Sarjapur Express,Carmelram,06:30,15
R023,Jalahalli Cross,Peenya,06:00,20
R024,Kanakapura Road,Banashankari,07:15,25
R025,Hosur Road Direct,Bommanahalli,06:30,15
R026,RT Nagar Loop,Sadashivanagar,07:00,20
R027,Basaveshwara Nagar,Rajajinagar Mkt,06:15,25
R028,Ullal Main Road,Nagarabhavi 2nd Stage,06:45,30
R029,Horamavu Express,HRBR Layout,07:00,20
R030,Devanahalli Direct,KIAL Terminal,05:30,30
R031,Nelamangala Express,Tumkur Road Toll,06:00,40
R032,Hoskote Local,Old Madras Road,06:30,30
R033,Bidadi Shuttle,Mysore Road Toll,07:00,35
R034,Domlur Ring,HAL Airport Old,06:15,20
R035,Madivala Express,Silk Board Junction,06:45,15
R036,Varthur Road,Brookefield Mall,07:00,20
R037,Panathur Local,Marathahalli Bridge,06:30,25
R038,Anjanapura Shuttle,JP Nagar 9th Phase,07:15,30
R039,Chandapura Loop,Anekal Town,06:00,40
R040,Kengeri Express,Mysore Road Metro,06:30,20
